title,subhead,urls,image_urls,premium
"The Islamic Republic of Iran, Netanyahu's favorite enemy for 30 years","Since his rise to prominence on the Israeli political stage in the early 1990s, Israeli Prime Minister Benjamin Netanyahu has repeatedly insisted that the regime in Tehran poses an 'existential threat' to Israel.",https://www.lemonde.fr/en/international/article/2025/06/13/the-islamic-republic-of-iran-netanyahu-s-favorite-enemy-for-30-years_6742320_4.html,,
Iran fires back at Israel after onslaught targets nuclear facilities,,https://www.lemonde.fr/en/international/article/2025/06/14/iran-fires-back-at-israel-after-onslaught-targets-nuclear-facilities_6742332_4.html,https://img.lemde.fr/2025/06/13/0/1/1605/1070/398/265/75/0/d0a6ce3_ftp-import-images-1-hnugbdu39o6f-2025-06-13t222650z-182216410-rc2y1fai0e1r-rtrmadp-3-iran-nuclear-israel.JPG,
UN conference on Palestinian statehood postponed,,https://www.lemonde.fr/en/international/article/2025/06/14/un-conference-on-palestinian-statehood-postponed_6742329_4.html,https://img.lemde.fr/2025/06/13/0/0/2868/1912/398/265/75/0/751da8c_ftp-import-images-1-4r5wsqx7xtth-5187065-01-06.jpg,
US judge extends detention of pro-Palestinian protest leader Mahmoud Khalil,"Khalil, a former NYU graduate student and one of the most visible leaders of nationwide campus protests against Israel's war in Gaza, was expected to be released after a US district judge issued the order on Wednesday, but is now being 'detained on another, second charge.'",https://www.lemonde.fr/en/international/article/2025/06/14/us-judge-extends-detention-of-pro-palestinian-protest-leader_6742330_4.html,https://img.lemde.fr/2025/06/11/1/0/8192/5461/398/265/75/0/a6dc67f_ftp-import-images-1-kvkhs1vohdcy-2025-06-11t215529z-1672098061-rc2nwdais4jz-rtrmadp-3-usa-trump-columbia-khalil.JPG,
"In Ukraine, the Dnipropetrovsk region faces threats of a Russian breakthrough toward Pokrovsk","Moscow, which has aimed to seize the strategic city in the Donetsk region, declares to have crossed the administrative border âˆ’ a claim Kyiv denies.",https://www.lemonde.fr/en/international/article/2025/06/13/in-ukraine-the-dnipropetrovsk-region-faces-threats-of-a-russian-breakthrough-toward-pokrovsk_6742325_4.html,https://img.lemde.fr/2025/06/13/252/0/3000/2000/398/265/75/0/0540a84_upload-1-u6ahxcnayk9w-portraits-sujet-thomas-d-istria-1.jpg,That's a premium article.
'Can robots beat the wolves of Wall Street?',"According to a study conducted by Stanford University, artificial intelligence has outperformed 93% of US equity mutual fund managers. So it is hardly surprising that the asset management industry is doubling down on technology, observes Isabelle Chaperon, economics reporter for Le Monde.",https://www.lemonde.fr/en/economy/article/2025/06/14/can-robots-beat-the-wolves-of-wall-street_6742328_19.html,https://img.lemde.fr/2025/06/13/0/0/7582/5054/398/265/75/0/7030d23_upload-1-xurii7svjf3i-415270.jpg,That's a premium article.
"Facing China, Leo XIV follows in the footsteps of Pope Francis by appointing a bishop in Fuzhou",,https://www.lemonde.fr/en/international/article/2025/06/14/facing-china-leo-xiv-follows-in-the-footsteps-of-pope-francis-by-appointing-a-bishop-in-fuzhou_6742327_4.html,https://img.lemde.fr/2025/06/13/0/0/7053/4702/198/132/95/0/bccba92_upload-1-uoc6yy1eqwzf-419218.jpg,That's a premium article.
"In Brazil, the evangelical wave is losing momentum",,https://www.lemonde.fr/en/international/article/2025/06/14/in-brazil-the-evangelical-wave-is-losing-momentum_6742331_4.html,https://img.lemde.fr/2025/06/06/2/0/6500/4333/198/132/95/0/a41557f_ftp-import-images-1-njs28nllkqq5-2025-06-06t192224z-2129839792-rc2joea1e4c0-rtrmadp-3-brazil-religion.JPG,That's a premium article.
Black box found at site of Air India plane crash,,https://www.lemonde.fr/en/international/article/2025/06/13/black-box-found-at-site-of-air-india-plane-crash_6742313_4.html,https://img.lemde.fr/2025/06/13/0/0/5616/3744/198/132/95/0/7845faf_ftp-import-images-1-sqblcajmxv5s-2070bbec9a0f41db848c72658bdaff67-0-360d33d85b074857b8828b199d8615a5.jpg,
"Federal judge rules Trump's deployment of National Guard in LA 'illegal,' but appeals court halts decision",,https://www.lemonde.fr/en/international/article/2025/06/13/federal-judge-rules-trump-s-deployment-of-national-guard-in-la-illegal-but-appeals-court-halts-decision_6742306_4.html,https://img.lemde.fr/2025/06/13/0/0/8256/5504/198/132/95/0/24a1f45_ftp-import-images-1-qflsarn60jru-0b5f1ea7699041118d86c3f432b1ea91-0-1e3a184244c9480c941c46f08779f397.jpg,That's a premium article.
'There is a world of difference between how the media portrays JK Rowling and her image among the public',,https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html,,That's a premium article.
Macron urges renewed nuclear dialogue after Israel's Iran strikes,,https://www.lemonde.fr/en/international/article/2025/06/13/macron-urges-renewed-nuclear-dialogue-after-israel-s-iran-strikes_6742324_4.html,,
"In Kenya, two young Belgians fined for attempting to illegally export around 5,000 ants",,https://www.lemonde.fr/en/international/article/2025/06/13/in-kenya-two-young-belgians-sentenced-for-attempting-to-illegally-export-around-5-000-ants_6742297_4.html,,That's a premium article.
Rare 16th-century shipwreck found at record depth in French waters,,https://www.lemonde.fr/en/science/article/2025/06/12/rare-16th-century-shipwreck-found-at-record-depth-in-french-waters_6742282_10.html,,That's a premium article.
Boeing faces renewed doubts after Air India 787 Dreamliner crash,,https://www.lemonde.fr/en/economy/article/2025/06/12/boeing-faces-renewed-doubts-after-air-india-787-dreamliner-crash_6742290_19.html,,That's a premium article.
"As Israel strikes Iran, US pointedly steps back to protect its forces in Middle East",,https://www.lemonde.fr/en/international/article/2025/06/13/as-israel-strikes-iran-us-pointedly-steps-back-to-protect-its-forces-in-middle-east_6742309_4.html,,That's a premium article.
'You've started a fire': TikTok execs fail to convince French lawmakers at hearing,,https://www.lemonde.fr/en/pixels/article/2025/06/13/you-ve-started-a-fire-tiktok-execs-fail-to-convince-french-lawmakers-at-hearing_6742314_13.html,,That's a premium article.
"Paris Games balloon returns to French capital, minus the Olympic name",,https://www.lemonde.fr/en/france/article/2025/06/13/paris-games-balloon-returns-to-french-capital-minus-the-olympic-name_6742317_7.html,,
